SEQUENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msdoor.mtx,CPU,30,40,40,30,40,40,50,30,30,30,,41,,,,,,msdoor.mtx,CPU,770,620,270,350,360,370,360,270,260,270,,635,,,,,,msdoor.mtx,CPU,210,130,120,130,100,160,110,120,110,290,,218,,
,REAL,8.59,8.468,10.105,7.56,10.099,10.3,9.78,9.54,9.443,8.446,,10.1245,6.3675934614055,1.59189836535137,,,,,REAL,219.52,170.692,70.273,86.188,90.421,92.326,91.573,67.044,67.72,68.534,,175.5748,0.3671865210725,0.091796630268125,,,,,REAL,94.217,51.032,60.917,54.348,50.037,71.977,61.117,62.411,60.923,73.257,,75.353,0.855555850463817,0.213888962615954
nlpkkt240.mtx,CPU,5260,1250,5790,3730,2430,5000,1050,8500,1150,1050,,6061,,,,,,nlpkkt240.mtx,CPU,21260,35350,57500,68140,20580,38870,21770,45230,59580,50020,,60436,,,,,,nlpkkt240.mtx,CPU,34630,16220,15640,15880,15640,8550,26660,8280,31470,52370,,36404,,
,REAL,1873.344,345.6,2491.296,1234.578,832.239,2186.588,292.841,3530.571,324.268,288.956,,2595.2235,0.712331943664968,0.178082985916242,,,,,REAL,6002.818,10307.937,16757.794,19599.747,5165.61,11407.926,6056.375,12704.355,17251.298,13983.424,,17486.1429,0.105721462450132,0.0264303656125331,,,,,REAL,12423.998,5023.034,4328.091,4056.046,4203.333,2208.453,8329.773,2209.656,8873.681,15184.945,,12700.0927,0.145562764278091,0.0363906910695227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATIC – 8,,,,,,,,,,,,,,,,,,,DYNAMIC – 8,,,,,,,,,,,,,,,,,,,GUIDED – 8,,,,,,,,,,,,,,,
matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency
ML_Geer.mtx,CPU,500,500,500,510,490,500,490,500,500,500,,501,,,,,,ML_Geer.mtx,CPU,2140,2280,2210,3460,2220,2290,2270,2260,2230,2240,,2407,,,,,,ML_Geer.mtx,CPU,2080,1940,850,1560,1190,930,1320,1210,1230,2210,,2093,,
,REAL,62.336,62.127,62.003,62.127,62.452,62.316,61.911,61.912,63.208,62.443,,62.5276,5.36061195376122,0.670076494220152,,,,,REAL,268.887,285.317,277.165,472.389,279.299,287.782,284.56,283.272,279.935,281.369,,306.2427,1.09451164060401,0.136813955075501,,,,,REAL,518.591,359.484,208.164,315.3,249.867,222.34,250.995,274.293,268.533,277.032,,375.3947,0.892890070104879,0.11161125876311
PFlow_742.mtx,CPU,170,160,180,180,180,180,170,180,190,180,,181,,,,,,PFlow_742.mtx,CPU,980,1010,1150,1080,1010,1030,990,1000,1040,1010,,1087,,,,,,PFlow_742.mtx,CPU,430,560,440,640,590,750,880,640,990,990,,990,,
,REAL,22.201,21.052,22.158,22.283,22.343,22.216,22.273,22.185,22.193,23.223,,22.431,4.64412197405377,0.580515246756721,,,,,REAL,123.017,126.703,231.395,209.109,125.663,129.601,124.017,125.809,130.269,126.311,,211.3376,0.492918912678104,0.061614864084763,,,,,REAL,99.202,110.803,104.959,119.442,113.134,127.368,124.971,156.529,123.229,124.838,,130.2841,0.799577999157227,0.0999472498946533
bmwcra_1.mtx,CPU,50,40,50,50,40,50,50,50,50,50,,50,,,,,,bmwcra_1.mtx,CPU,220,220,220,270,350,220,220,230,220,220,,278,,,,,,bmwcra_1.mtx,CPU,150,90,200,150,150,170,140,130,150,210,,201,,
,REAL,6.133,6.249,6.237,6.195,6.249,6.109,6.23,6.191,6.214,6.228,,6.249,5.10966554648744,0.63870819331093,,,,,REAL,28.296,26.964,27.966,54.898,68.488,27.787,28.103,28.927,28.39,27.781,,56.257,0.567579145706312,0.070947393213289,,,,,REAL,39.588,24.545,25.421,40.786,38.557,40.568,36.275,30.548,32.82,27.403,,40.5898,0.786658224480042,0.0983322780600052
msdoor.mtx,CPU,100,100,100,90,90,100,90,110,100,100,,101,,,,,,msdoor.mtx,CPU,590,580,580,570,560,560,600,580,610,580,,601,,,,,,msdoor.mtx,CPU,260,270,280,220,310,440,220,270,230,570,,453,,
,REAL,12.399,12.105,12.109,12.124,12.162,12.321,12.083,12.107,12.079,12.116,,12.3288,5.22911394458504,0.65363924307313,,,,,REAL,74.059,73.035,72.112,96.733,71.057,70.799,75.101,73.002,75.848,72.082,,77.9365,0.827195216618657,0.103399402077332,,,,,REAL,67.251,63.333,66.852,56.028,76.006,100.218,59.359,60.697,57.887,70.837,,78.4272,0.822019656445723,0.102752457055715
nlpkkt240.mtx,CPU,3660,2820,2830,2850,2840,3630,2830,2820,2830,3190,,3633,,,,,,nlpkkt240.mtx,CPU,40800,33860,44860,30340,35280,35350,35270,35730,35690,34420,,41206,,,,,,nlpkkt240.mtx,CPU,28110,17730,27280,23450,24800,23060,29400,20650,94260,55600,,59466,,
,REAL,466.598,391.003,390.656,391.992,392.102,461.876,391.163,391.264,391.172,439.941,,462.3482,3.99841634508364,0.499802043135455,,,,,REAL,5233.24,4252.426,6510.184,3910.162,4420.59,4440.839,4430.698,4488.114,4480.684,4322.436,,5360.9344,0.344839250411272,0.043104906301409,,,,,REAL,3549.218,2367.393,3696.341,3029.196,3183.944,3099.597,4079.037,2754.894,12574.075,7220.296,,7755.6739,0.238362342697261,0.0297952928371576
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATIC – 16,,,,,,,,,,,,,,,,,,,DYNAMIC – 16,,,,,,,,,,,,,,,,,,,GUIDED – 16,,,,,,,,,,,,,,,
matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency
ML_Geer.mtx,CPU,880,740,870,780,890,880,830,930,890,930,,930,,,,,,ML_Geer.mtx,CPU,3240,3250,3280,3210,3350,3270,3260,3350,3240,3270,,3350,,,,,,ML_Geer.mtx,CPU,2910,3110,3090,3150,3100,3100,3120,3140,2870,3050,,3141,,
,REAL,60.258,50.04,59.812,52.349,59.793,59.222,55.301,66.137,59.124,66.143,,66.1376,5.06801274917747,0.316750796823592,,,,,REAL,233.016,203.631,205.86,201.053,210.609,205.564,204.63,209.428,203.284,204.68,,212.8497,1.57475533204886,0.0984222082530537,,,,,REAL,182.381,194.802,193.575,198.081,194.841,194.982,195.514,196.857,179.805,191.55,,196.9794,1.70163072889855,0.10635192055616
PFlow_742.mtx,CPU,310,340,320,310,340,310,310,280,260,340,,340,,,,,,PFlow_742.mtx,CPU,1560,1500,1540,1530,1500,1550,1570,1550,1530,1560,,1561,,,,,,PFlow_742.mtx,CPU,1460,1480,1470,1460,7540,1360,1480,1420,1460,1480,,2086,,
,REAL,21.3,24.444,21.4,21.153,24.858,21.282,21.377,18.673,17.779,24.495,,24.5313,4.24650548482959,0.265406592801849,,,,,REAL,98.562,94.404,96.958,96.559,94.612,97.759,98.091,96.772,96.597,98.358,,98.3784,1.0588940255178,0.0661808765948623,,,,,REAL,92.22,93.115,92.54,91.753,476.968,85.845,93.407,89.789,91.657,93.074,,131.7631,0.79060298368815,0.0494126864805094
bmwcra_1.mtx,CPU,80,100,90,100,90,90,90,90,90,90,,100,,,,,,bmwcra_1.mtx,CPU,490,2530,930,2110,310,330,310,290,350,310,,2152,,,,,,bmwcra_1.mtx,CPU,330,310,320,320,310,310,320,320,320,320,,321,,
,REAL,5.326,7.051,5.93,7.046,5.935,5.87,6.081,5.596,5.395,5.923,,7.0465,4.53137018377918,0.283210636486199,,,,,REAL,32.803,163.518,59.752,136.513,20.108,21.196,19.886,18.631,22.259,19.473,,139.2135,0.229362094911772,0.0143351309319858,,,,,REAL,20.207,20.294,20.128,20.257,20.185,19.934,20.38,20.155,20.264,20.366,,20.3674,1.56771605605036,0.0979822535031472
msdoor.mtx,CPU,160,170,190,170,190,190,170,170,190,170,,190,,,,,,msdoor.mtx,CPU,980,870,850,860,880,880,900,870,900,890,,908,,,,,,msdoor.mtx,CPU,820,820,820,800,830,850,830,800,830,830,,832,,
,REAL,10.158,10.58,13.346,10.857,11.383,13.454,11.545,11.49,13.459,10.883,,13.4545,4.79160875543498,0.299475547214686,,,,,REAL,66.008,55.233,53.856,54.405,55.932,55.529,56.676,54.724,57.259,56.293,,58.1339,1.10896912128724,0.0693105700804522,,,,,REAL,51.866,51.894,51.617,50.076,52.577,52.999,52.423,50.69,52.337,52.629,,52.666,1.22410473550298,0.0765065459689363
nlpkkt240.mtx,CPU,5520,6460,6260,5440,6230,6180,6410,5800,6090,6160,,6415,,,,,,nlpkkt240.mtx,CPU,55140,55420,54230,55530,54840,55600,56760,55090,56200,56460,,56490,,,,,,nlpkkt240.mtx,CPU,211870,198370,192990,219900,53080,52310,210130,52700,202640,53210,,212673,,
,REAL,383.365,477.952,428.643,387.09,426.959,421.729,475.175,410.935,422.29,429.194,,475.4527,3.88821138254131,0.243013211408832,,,,,REAL,3454.396,3471.803,3397.921,3478.948,3435.938,3483.275,3556.131,3452.089,3521.699,3536.942,,3538.8609,0.522388602502009,0.0326492876563755,,,,,REAL,13438.606,12565.975,12184.784,13994.418,3325.9,3277.048,13302.701,3307.541,12823.885,3333.151,,13494.1872,0.136996810004236,0.00856230062526478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATIC – 32,,,,,,,,,,,,,#VALUE!,,,,,,DYNAMIC – 32 ,,,,,,,,,,,,,,,,,,,GUIDED – 32,,,,,,,,,,,,,,,
matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency
ML_Geer.mtx,CPU,1120,840,1160,1010,870,1060,1360,1090,930,1050,,1180,,,,,,ML_Geer.mtx,CPU,6010,6220,3930,3190,3880,3780,3520,3600,3780,4320,,6031,,,,,,ML_Geer.mtx,CPU,4170,4170,4150,4010,4080,4040,4100,4050,4130,4040,,4170,,
,REAL,36.014,26.914,36.971,31.75,27.684,33.601,43.451,34.655,29.716,33.314,,37.619,8.91002418990404,0.278438255934501,,,,,REAL,372.081,388.2,188.002,191.138,169.874,180.514,194.325,183.058,173.216,135.742,,373.6929,0.896956297537363,0.0280298842980426,,,,,REAL,131.055,131.033,130.621,125.881,128.441,127.427,128.956,127.255,129.983,127.027,,131.0352,2.55798594576114,0.0799370608050356
PFlow_742.mtx,CPU,290,450,400,340,380,370,330,390,380,330,,405,,,,,,PFlow_742.mtx,CPU,1710,1800,1660,2290,1700,2290,1630,1740,1830,2010,,2290,,,,,,PFlow_742.mtx,CPU,1990,1980,1960,1980,2020,1950,1980,2020,2010,1990,,2020,,
,REAL,9.553,14.89,12.897,11.237,12.657,11.944,10.5,12.811,12.632,11.111,,13.0963,7.95433061246306,0.248572831639471,,,,,REAL,112.863,107.775,106.544,76.744,89.543,84.012,95.681,110.689,118.356,63.467,,113.4123,0.918527355498478,0.0287039798593274,,,,,REAL,63.083,62.429,61.927,62.436,64.111,61.717,62.121,64.115,63.592,63.046,,64.1114,1.62486390875882,0.050776997148713
bmwcra_1.mtx,CPU,100,130,110,110,120,100,110,130,100,90,,130,,,,,,bmwcra_1.mtx,CPU,670,600,600,550,530,710,570,620,540,460,,674,,,,,,bmwcra_1.mtx,CPU,430,580,430,430,480,1100,420,420,440,790,,821,,
,REAL,3.788,4.737,3.99,3.906,4.486,3.637,3.674,4.645,3.967,3.656,,4.6542,6.86053457092519,0.214391705341412,,,,,REAL,35.859,39.631,39.408,34.769,35.153,49.641,39.868,38.605,30.104,15.132,,40.8453,0.7817374336827,0.0244292948025844,,,,,REAL,13.999,18.592,14.022,13.854,15.328,39.279,13.815,13.653,14.427,26.507,,27.7842,1.14922509915708,0.0359132843486586
msdoor.mtx,CPU,200,200,190,250,230,180,220,180,180,220,,232,,,,,,msdoor.mtx,CPU,1080,1120,980,1010,1260,1050,1010,1070,990,1170,,1179,,,,,,msdoor.mtx,CPU,1110,1110,1130,1130,1130,1120,1120,1100,1150,1100,,1132,,
,REAL,6.563,6.513,6.298,8.497,7.516,6.001,7.353,6.42,6.189,7.598,,7.6879,8.38573602674332,0.262054250835729,,,,,REAL,67.285,66.167,63.086,55.117,73.032,67.401,61.09,68.706,65.393,37.478,,69.1386,0.932455965263977,0.0291392489144993,,,,,REAL,35.248,35.368,35.88,35.958,36.035,35.549,35.752,34.922,36.356,35.351,,36.0671,1.78746558497911,0.0558582995305971
nlpkkt240.mtx,CPU,6180,6680,8190,8120,6780,8390,7040,6660,9550,6850,,8506,,,,,,nlpkkt240.mtx,CPU,343930,66220,70920,64990,63300,65430,70350,69290,75940,556900,,365227,,,,,,nlpkkt240.mtx,CPU,73690,74500,73200,75560,72660,72780,73110,72070,72930,72670,,74606,,
,REAL,251.746,225.269,272.97,276.233,225.726,282.343,243.303,224.068,302.007,217.137,,284.3094,6.50228448303152,0.203196390094735,,,,,REAL,12904.904,2463.31,2435.216,2695.657,2697.168,2520.675,2291.2,2398.199,2641.425,17517.084,,13366.122,0.138309421386398,0.00432216941832493,,,,,REAL,2310.232,2335.979,2293.662,2368.131,2276.923,2280.412,2290.689,2258.147,2285.033,2276.909,,2339.1942,0.79029804365965,0.0246968138643641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATIC – 64,,,,,,,,,,,,,#VALUE!,,,,,,DYNAMIC – 64,,,,,,,,,,,,,,,,,,,GUIDED – 64,,,,,,,,,,,,,,,
matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency
ML_Geer.mtx,CPU,3970,5130,4970,5040,5100,4110,4830,4870,4330,4850,,5103,,,,,,ML_Geer.mtx,CPU,8130,8020,8140,7400,8910,8140,7420,7300,8100,7540,,8217,,,,,,ML_Geer.mtx,CPU,5890,5590,7090,7200,6490,7120,6770,6490,7330,6660,,7213,,
,REAL,74.572,90.927,87.825,95.958,92.086,75.396,87.006,86.197,77.656,87.797,,92.4732,3.62468477353439,0.0566356995864748,,,,,REAL,128.831,128.451,128.819,117.033,143.85,129.94,117.136,115.402,129.678,119.336,,131.331,2.55222453190793,0.0398785083110614,,,,,REAL,182.094,283.597,188.444,212.001,221.738,160.633,220.281,204.858,169.75,157.356,,227.9239,1.47060575920296,0.0229782149875463
PFlow_742.mtx,CPU,2230,2250,1660,2250,1620,1660,2190,1570,2310,1990,,2256,,,,,,PFlow_742.mtx,CPU,4420,5020,3620,3590,3570,3630,3600,4490,4340,3640,,4543,,,,,,PFlow_742.mtx,CPU,3690,3840,3300,3420,3960,3910,4310,3950,4470,57570,,9779.99999999998,,
,REAL,38.163,39.513,28.15,39.678,27.958,28.918,39.281,26.409,38.723,36.644,,39.5295,2.63530527833643,0.0411766449740068,,,,,REAL,70.557,81.136,57.618,57.25,57.109,58.056,57.678,73.848,69.857,58.245,,74.5768,1.39684593600155,0.0218257177500241,,,,,REAL,108.72,153.259,197.559,139.344,136.498,116.684,114.063,102.857,98.076,1817.362,,359.539299999999,0.289738284521331,0.0045271606956458
bmwcra_1.mtx,CPU,1710,560,1510,1480,1300,540,1130,1480,1040,1660,,1665,,,,,,bmwcra_1.mtx,CPU,800,2050,1400,1560,1430,1590,800,800,810,1580,,1636,,,,,,bmwcra_1.mtx,CPU,2310,1980,2230,1840,2210,2280,1960,3120,2220,2350,,2427,,
,REAL,28.252,9.738,28.517,28.752,25.15,9.693,20.956,27.941,20.732,27.596,,28.5405,1.11877157022477,0.017480805784762,,,,,REAL,13.65,40.432,27.881,25.994,25.544,26.185,13.788,13.717,13.625,26.103,,29.1361,1.09590164778402,0.0171234632466253,,,,,REAL,61.113,81.679,90.81,38.932,101.621,116.966,61.782,113.589,87.999,57.324,,113.9267,0.280270559930201,0.00437922749890939
msdoor.mtx,CPU,1540,1610,1560,1920,930,1600,1650,2060,2750,1880,,2129,,,,,,msdoor.mtx,CPU,2090,2050,2010,2810,2040,2770,2030,1980,2020,2010,,2774,,,,,,msdoor.mtx,CPU,2770,2580,3370,3140,2690,19970,4080,3200,2820,3210,,5668.99999999999,,
